gate: 5
check: G05-C2
captured_utc: 2026-09-14T10:24:14Z
repo_commit: 9f50972a8ce6cda6fc53bb2439ce8669d1a98282
plan_commit: 4ebc8def34df78a0bc6b29e42656986ef987f4c9
plan_sha256: 42eaac5e61d177430ce8e331767d2137b3f9b2bd197e13945b84f7c5e8cd79c7
target_identity: kube-system namespace UID d7d8a462-c503-49ed-a1e0-899f372f9465; API server https://10.2.0.100:6443 (private VIP); hosts veridex-server-1/2/3 (control-plane,etcd)
captured_by: agent
command: ssh root@veridex-agent-2 -- backgrounded shell loop: every ~0.3s, TCP-connect probe of 10.2.0.100:6443 via /dev/tcp, timestamped OK/FAIL, for 10 minutes bracketing the drill
exit_status: 0
proof_class: live
result: PASS
limitations: TCP-connect only (not a full authenticated API call) -- sufficient to measure VIP reachability/interruption timing, run from a worker node (a realistic client position, and unaffected by the etcd voter that goes down). 1639 samples captured; full log is the same file cited by C4.
--- unedited output ---
2026-09-14T10:18:11.707Z OK
2026-09-14T10:18:12.016Z OK
2026-09-14T10:18:12.323Z OK
2026-09-14T10:18:12.630Z OK
2026-09-14T10:18:12.938Z OK
2026-09-14T10:18:13.247Z OK
2026-09-14T10:18:13.556Z OK
2026-09-14T10:18:13.866Z OK
2026-09-14T10:18:14.175Z OK
2026-09-14T10:18:14.484Z OK
2026-09-14T10:18:14.792Z OK
2026-09-14T10:18:15.101Z OK
2026-09-14T10:18:15.410Z OK
2026-09-14T10:18:15.718Z OK
2026-09-14T10:18:16.026Z OK
2026-09-14T10:18:16.334Z OK
2026-09-14T10:18:16.642Z OK
2026-09-14T10:18:16.950Z OK
2026-09-14T10:18:17.261Z OK
2026-09-14T10:18:17.570Z OK
2026-09-14T10:18:17.879Z OK
2026-09-14T10:18:18.187Z OK
2026-09-14T10:18:18.497Z OK
2026-09-14T10:18:18.805Z OK
2026-09-14T10:18:19.114Z OK
2026-09-14T10:18:19.423Z OK
2026-09-14T10:18:19.731Z OK
2026-09-14T10:18:20.039Z OK
2026-09-14T10:18:20.346Z OK
2026-09-14T10:18:20.654Z OK
2026-09-14T10:18:20.963Z OK
2026-09-14T10:18:21.272Z OK
2026-09-14T10:18:21.580Z OK
2026-09-14T10:18:21.890Z OK
2026-09-14T10:18:22.199Z OK
2026-09-14T10:18:22.507Z OK
2026-09-14T10:18:22.816Z OK
2026-09-14T10:18:23.126Z OK
2026-09-14T10:18:23.433Z OK
2026-09-14T10:18:23.742Z OK
2026-09-14T10:18:24.050Z OK
2026-09-14T10:18:24.361Z OK
2026-09-14T10:18:24.670Z OK
2026-09-14T10:18:24.981Z OK
2026-09-14T10:18:25.288Z OK
2026-09-14T10:18:25.596Z OK
2026-09-14T10:18:25.905Z OK
2026-09-14T10:18:26.214Z OK
2026-09-14T10:18:26.522Z OK
2026-09-14T10:18:26.831Z OK
2026-09-14T10:18:27.141Z OK
2026-09-14T10:18:27.451Z OK
2026-09-14T10:18:27.759Z OK
2026-09-14T10:18:28.066Z OK
2026-09-14T10:18:28.374Z OK
2026-09-14T10:18:28.682Z OK
2026-09-14T10:18:28.992Z OK
2026-09-14T10:18:29.301Z OK
2026-09-14T10:18:29.610Z OK
2026-09-14T10:18:29.918Z OK
2026-09-14T10:18:30.225Z OK
2026-09-14T10:18:30.533Z OK
2026-09-14T10:18:30.841Z OK
2026-09-14T10:18:31.148Z OK
2026-09-14T10:18:31.456Z OK
2026-09-14T10:18:31.764Z OK
2026-09-14T10:18:32.073Z OK
2026-09-14T10:18:32.382Z OK
2026-09-14T10:18:32.690Z OK
2026-09-14T10:18:32.998Z OK
2026-09-14T10:18:33.306Z OK
2026-09-14T10:18:33.613Z OK
2026-09-14T10:18:33.920Z OK
2026-09-14T10:18:34.227Z OK
2026-09-14T10:18:34.535Z OK
2026-09-14T10:18:34.845Z OK
2026-09-14T10:18:35.152Z OK
2026-09-14T10:18:35.460Z OK
2026-09-14T10:18:35.769Z OK
2026-09-14T10:18:36.077Z OK
2026-09-14T10:18:36.385Z OK
2026-09-14T10:18:36.693Z OK
2026-09-14T10:18:37.000Z OK
